Accident_ID,Date,Time,Time_Period,Location,Latitude,Longitude,Weather,Road_Condition,Road_Type,Light_Condition,Severity,Vehicles_Involved,Casualties
A00519,2023-10-11,09:30,Morning,Bridge Road,19.064066,73.053374,Clear,Dry,Expressway,Daylight,Minor,2,0
A00520,2023-10-12,10:40,Morning,City Center,19.145733,72.841887,Rainy,Dry,Residential Road,Daylight,Severe,3,1
A00521,2023-10-12,11:50,Morning,City Center,19.111293,72.810318,Clear,Poor,Intersection,Daylight,Minor,3,1
A00522,2023-10-13,12:30,Afternoon,City Center,19.051553,72.756306,Cloudy,Dry,Highway,Daylight,Severe,3,2
A00523,2023-10-13,11:10,Morning,Expressway,19.055127,72.782853,Rainy,Wet,Intersection,Daylight,Moderate,5,2
A00524,2023-10-14,13:40,Afternoon,City Center,19.122186,72.801615,Foggy,Dry,Urban Road,Daylight,Minor,1,1
A00525,2023-10-15,01:30,Night,Industrial Area,18.956457,72.777599,Clear,Dry,Urban Road,Dark,Minor,2,2
A00526,2023-10-15,18:50,Evening,College Road,19.054904,73.063908,Cloudy,Dry,Urban Road,Dusk,Moderate,2,3
A00527,2023-10-16,17:40,Evening,City Center,19.07879,73.069003,Clear,Dry,Expressway,Daylight,Severe,2,1
A00528,2023-10-16,02:20,Night,Residential Area,19.29405,73.078077,Clear,Wet,Urban Road,Dark,Minor,4,1
A00529,2023-10-17,22:50,Night,College Road,19.040582,73.085951,Clear,Dry,Intersection,Dark,Minor,5,3
A00530,2023-10-17,16:10,Afternoon,Ring Road,19.157832,72.922142,Cloudy,Dry,Intersection,Daylight,Moderate,2,0
A00531,2023-10-18,07:30,Morning,Station Road,18.954966,72.935509,Clear,Dry,Intersection,Daylight,Severe,1,1
A00532,2023-10-18,09:20,Morning,Ring Road,18.926193,72.795791,Rainy,Wet,Highway,Daylight,Minor,2,1
A00533,2023-10-19,01:20,Night,College Road,19.248617,72.797968,Clear,Dry,Intersection,Dark,Moderate,4,1
A00534,2023-10-19,18:40,Evening,Market Road,19.192294,73.020465,Cloudy,Dry,Expressway,Dusk,Moderate,2,0
A00535,2023-10-20,08:20,Morning,Main Highway,19.027,73.049505,Clear,Dry,Highway,Daylight,Minor,1,1
A00536,2023-10-21,06:10,Morning,Bridge Road,19.101831,73.02465,Rainy,Wet,Highway,Daylight,Moderate,1,0
A00537,2023-10-21,03:10,Night,College Road,18.954298,73.042102,Rainy,Wet,Highway,Dark,Minor,2,1
A00538,2023-10-22,20:00,Evening,Expressway,19.182864,72.8468,Cloudy,Poor,Highway,Dusk,Severe,4,2
A00539,2023-10-22,17:10,Evening,Airport Road,18.928132,72.913123,Rainy,Wet,Urban Road,Daylight,Moderate,2,2
A00540,2023-10-23,12:50,Afternoon,City Center,19.202813,72.91072,Clear,Dry,Intersection,Daylight,Moderate,2,2
A00541,2023-10-23,10:20,Morning,Main Highway,19.118735,73.098349,Cloudy,Dry,Urban Road,Daylight,Minor,2,0
A00542,2023-10-24,23:10,Night,Junction Road,19.01154,73.082212,Clear,Dry,Urban Road,Dark,Minor,2,1
A00543,2023-10-24,03:40,Night,Bridge Road,19.24503,72.95947,Clear,Dry,Intersection,Dark,Severe,3,2
A00544,2023-10-25,20:00,Evening,Industrial Area,19.294429,72.798291,Rainy,Dry,Urban Road,Dusk,Moderate,2,1
A00545,2023-10-25,03:20,Night,Industrial Area,19.00174,72.840509,Foggy,Poor,Intersection,Dark,Moderate,2,1
A00546,2023-10-26,09:00,Morning,Airport Road,19.222498,72.877317,Clear,Dry,Urban Road,Daylight,Moderate,4,1
A00547,2023-10-27,04:20,Night,Expressway,19.200067,73.055624,Cloudy,Dry,Residential Road,Dark,Moderate,1,0
A00548,2023-10-27,08:40,Morning,Residential Area,19.198876,72.809721,Cloudy,Dry,Urban Road,Daylight,Minor,3,1
A00549,2023-10-28,23:00,Night,Ring Road,19.282894,72.826911,Clear,Dry,Residential Road,Dark,Minor,2,0
A00550,2023-10-28,02:30,Night,Station Road,19.094647,72.872285,Clear,Wet,Highway,Dark,Minor,2,2
A00551,2023-10-29,16:50,Afternoon,Ring Road,19.169667,73.074419,Clear,Dry,Expressway,Daylight,Moderate,3,0
A00552,2023-10-29,02:50,Night,Bridge Road,19.229551,72.926334,Clear,Dry,Urban Road,Dark,Minor,4,2
A00553,2023-10-30,15:20,Afternoon,College Road,19.091815,72.976393,Clear,Dry,Intersection,Daylight,Minor,2,0
A00554,2023-10-30,03:30,Night,Ring Road,19.092572,72.885528,Clear,Dry,Urban Road,Dark,Severe,1,3
A00555,2023-10-31,17:00,Evening,Market Road,19.027462,72.815983,Clear,Poor,Highway,Daylight,Minor,2,0
A00556,2023-11-01,16:30,Afternoon,Ring Road,19.21233,72.82798,Rainy,Wet,Residential Road,Daylight,Moderate,2,1
A00557,2023-11-01,06:30,Morning,City Center,19.174478,73.030935,Cloudy,Wet,Highway,Daylight,Minor,2,0
A00558,2023-11-02,23:00,Night,Ring Road,19.080456,73.062719,Stormy,Wet,Expressway,Dark,Minor,3,0
A00559,2023-11-02,22:40,Night,Airport Road,19.067735,72.922576,Clear,Dry,Intersection,Dark,Minor,1,0
A00560,2023-11-03,04:30,Night,Industrial Area,18.929036,72.874948,Rainy,Wet,Expressway,Dark,Minor,2,1
A00561,2023-11-03,11:30,Morning,Junction Road,18.9026,73.032742,Foggy,Dry,Highway,Daylight,Severe,3,4
A00562,2023-11-04,16:40,Afternoon,Junction Road,19.111558,72.985583,Rainy,Slippery,Residential Road,Daylight,Moderate,2,1
A00563,2023-11-04,22:30,Night,Expressway,19.066997,72.764306,Clear,Dry,Residential Road,Dark,Minor,3,1
A00564,2023-11-05,12:30,Afternoon,City Center,19.218415,72.872759,Rainy,Wet,Expressway,Daylight,Minor,2,0
A00565,2023-11-05,22:30,Night,Bridge Road,19.117062,72.988761,Clear,Dry,Highway,Dark,Moderate,2,1
A00566,2023-11-06,02:50,Night,Market Road,19.274682,72.950788,Clear,Dry,Urban Road,Dark,Minor,5,2
A00567,2023-11-07,08:10,Morning,Residential Area,18.978456,73.092324,Cloudy,Dry,Urban Road,Daylight,Minor,2,0
A00568,2023-11-07,16:40,Afternoon,Ring Road,19.29606,73.05314,Cloudy,Poor,Highway,Daylight,Moderate,2,1
A00569,2023-11-08,16:30,Afternoon,College Road,19.019168,72.770908,Clear,Dry,Urban Road,Daylight,Severe,3,1
A00570,2023-11-08,19:50,Evening,Expressway,19.15697,73.004019,Foggy,Dry,Urban Road,Dusk,Minor,5,0
A00571,2023-11-09,15:40,Afternoon,Junction Road,19.100741,72.867714,Rainy,Slippery,Expressway,Daylight,Moderate,5,4
A00572,2023-11-09,21:20,Night,Expressway,19.043831,72.988729,Cloudy,Dry,Intersection,Dark,Severe,2,1
A00573,2023-11-10,12:20,Afternoon,Market Road,18.955724,72.966029,Foggy,Poor,Residential Road,Daylight,Minor,1,0
A00574,2023-11-10,18:30,Evening,Industrial Area,18.953934,72.926068,Clear,Poor,Urban Road,Dusk,Severe,4,2
A00575,2023-11-11,16:50,Afternoon,Junction Road,19.184602,73.048532,Stormy,Wet,Urban Road,Daylight,Moderate,2,2
A00576,2023-11-11,03:50,Night,Expressway,19.051057,72.998041,Cloudy,Dry,Intersection,Dark,Minor,2,0
A00577,2023-11-12,11:40,Morning,City Center,19.284519,73.061344,Clear,Dry,Intersection,Daylight,Fatal,3,1
A00578,2023-11-13,08:40,Morning,Station Road,19.030259,72.848561,Rainy,Slippery,Intersection,Daylight,Minor,2,0
A00579,2023-11-13,18:50,Evening,Airport Road,19.293409,72.871845,Rainy,Slippery,Expressway,Dusk,Minor,1,0
A00580,2023-11-14,11:40,Morning,Market Road,18.982169,72.967683,Rainy,Wet,Urban Road,Daylight,Severe,3,0
A00581,2023-11-14,08:50,Morning,Residential Area,18.941126,73.088263,Stormy,Wet,Expressway,Daylight,Moderate,2,1
A00582,2023-11-15,06:10,Morning,Residential Area,19.025028,72.880054,Rainy,Wet,Urban Road,Daylight,Minor,2,1
A00583,2023-11-15,13:50,Afternoon,Junction Road,19.254234,72.761303,Cloudy,Wet,Urban Road,Daylight,Minor,2,1
A00584,2023-11-16,19:20,Evening,Main Highway,19.108741,72.906061,Rainy,Wet,Expressway,Dusk,Moderate,3,1
A00585,2023-11-16,18:40,Evening,Residential Area,18.95426,72.940375,Rainy,Wet,Highway,Dusk,Severe,2,2
A00586,2023-11-17,14:50,Afternoon,Airport Road,18.981,73.030346,Clear,Dry,Highway,Daylight,Moderate,2,0
A00587,2023-11-17,15:50,Afternoon,Bridge Road,19.024504,73.00501,Foggy,Poor,Urban Road,Daylight,Fatal,3,0
A00588,2023-11-18,20:40,Evening,Bridge Road,19.136067,73.087632,Clear,Dry,Urban Road,Dusk,Minor,4,2
A00589,2023-11-19,04:10,Night,Expressway,19.032952,73.023939,Rainy,Wet,Intersection,Dark,Minor,2,0
A00590,2023-11-19,02:10,Night,Expressway,19.198822,72.85452,Foggy,Wet,Highway,Dark,Moderate,3,1
A00591,2023-11-20,11:40,Morning,Expressway,19.146517,72.974483,Rainy,Wet,Highway,Daylight,Moderate,3,0
A00592,2023-11-20,19:00,Evening,City Center,19.249529,72.985284,Rainy,Slippery,Highway,Dusk,Minor,3,0
A00593,2023-11-21,20:40,Evening,Market Road,19.100385,73.099307,Rainy,Dry,Highway,Dusk,Minor,2,1
A00594,2023-11-21,03:40,Night,Bridge Road,19.032471,72.798558,Cloudy,Dry,Highway,Dark,Severe,4,3
A00595,2023-11-22,20:10,Evening,Residential Area,19.298509,72.816964,Foggy,Wet,Residential Road,Dusk,Fatal,2,1
A00596,2023-11-22,22:10,Night,Market Road,19.042253,72.80443,Clear,Dry,Urban Road,Dark,Moderate,1,0
A00597,2023-11-23,15:40,Afternoon,Residential Area,19.071441,72.956171,Clear,Dry,Expressway,Daylight,Minor,2,0
A00598,2023-11-24,06:40,Morning,Residential Area,19.223651,72.797355,Clear,Wet,Intersection,Daylight,Fatal,3,3
A00599,2023-11-24,12:40,Afternoon,Station Road,18.935454,72.979603,Cloudy,Dry,Residential Road,Daylight,Severe,1,1
A00600,2023-11-25,20:10,Evening,Bridge Road,19.054596,73.031321,Cloudy,Dry,Highway,Dusk,Moderate,2,2
A00601,2023-11-25,09:40,Morning,Ring Road,18.934284,72.901478,Rainy,Wet,Highway,Daylight,Severe,3,4
A00602,2023-11-26,06:40,Morning,Station Road,18.955722,72.94624,Clear,Dry,Intersection,Daylight,Severe,4,2
A00603,2023-11-26,13:30,Afternoon,Junction Road,18.901856,73.069453,Cloudy,Dry,Urban Road,Daylight,Severe,3,2
A00604,2023-11-27,04:00,Night,Market Road,18.903818,72.949348,Clear,Dry,Expressway,Dark,Severe,2,0
A00605,2023-11-27,02:20,Night,Main Highway,19.052115,72.823012,Clear,Dry,Intersection,Dark,Moderate,1,1
A00606,2023-11-28,22:00,Night,Market Road,19.223666,72.870118,Cloudy,Dry,Intersection,Dark,Moderate,3,2
A00607,2023-11-28,10:30,Morning,Main Highway,19.134802,72.935446,Clear,Dry,Intersection,Daylight,Moderate,1,0
A00608,2023-11-29,10:20,Morning,Expressway,19.153966,72.804214,Clear,Dry,Residential Road,Daylight,Moderate,3,1
A00609,2023-11-30,17:40,Evening,Ring Road,19.1077,72.964382,Clear,Poor,Urban Road,Daylight,Severe,2,4
A00610,2023-11-30,14:30,Afternoon,Junction Road,19.227917,73.099736,Clear,Dry,Intersection,Daylight,Fatal,4,3
A00611,2023-12-01,11:40,Morning,Market Road,19.252151,72.978387,Cloudy,Dry,Urban Road,Daylight,Moderate,2,1
A00612,2023-12-01,08:10,Morning,Station Road,19.239896,72.880344,Clear,Dry,Highway,Daylight,Moderate,2,2
A00613,2023-12-02,09:50,Morning,Airport Road,19.224853,72.866111,Rainy,Wet,Residential Road,Daylight,Moderate,4,1
A00614,2023-12-02,11:30,Morning,Market Road,18.973085,73.076061,Rainy,Wet,Residential Road,Daylight,Moderate,2,0
A00615,2023-12-03,16:10,Afternoon,Ring Road,19.13755,73.05503,Cloudy,Dry,Intersection,Daylight,Moderate,2,1
A00616,2023-12-03,05:30,Morning,Station Road,19.132865,72.915326,Stormy,Wet,Residential Road,Dark,Minor,4,1
A00617,2023-12-04,06:30,Morning,Market Road,19.111178,72.873695,Cloudy,Poor,Urban Road,Daylight,Moderate,2,1
A00618,2023-12-04,13:10,Afternoon,College Road,19.092325,72.998662,Cloudy,Dry,Intersection,Daylight,Minor,2,1
A00619,2023-12-05,12:20,Afternoon,Residential Area,18.935668,72.860076,Stormy,Wet,Expressway,Daylight,Minor,2,1
A00620,2023-12-06,07:00,Morning,City Center,18.940865,72.791791,Clear,Dry,Residential Road,Daylight,Severe,2,2
A00621,2023-12-06,09:40,Morning,Station Road,19.260913,72.858553,Foggy,Wet,Urban Road,Daylight,Minor,1,0
A00622,2023-12-07,08:30,Morning,Main Highway,19.152075,72.902004,Clear,Dry,Urban Road,Daylight,Minor,3,0
A00623,2023-12-07,17:40,Evening,Industrial Area,19.004927,72.839394,Clear,Dry,Residential Road,Daylight,Minor,3,0
A00624,2023-12-08,01:50,Night,Expressway,19.01172,72.825885,Clear,Wet,Highway,Dark,Minor,2,0
A00625,2023-12-08,04:10,Night,Expressway,19.144078,72.752149,Rainy,Dry,Urban Road,Dark,Moderate,2,0
A00626,2023-12-09,04:40,Night,Junction Road,19.062774,72.970795,Cloudy,Dry,Residential Road,Dark,Moderate,4,1
A00627,2023-12-09,05:10,Morning,Industrial Area,19.07653,72.965057,Rainy,Wet,Urban Road,Dark,Severe,5,3
A00628,2023-12-10,18:40,Evening,Bridge Road,18.92426,72.815809,Clear,Poor,Urban Road,Dusk,Minor,2,1
A00629,2023-12-11,07:00,Morning,Residential Area,18.955496,73.080278,Clear,Wet,Highway,Daylight,Minor,3,0
A00630,2023-12-11,15:00,Afternoon,Industrial Area,19.05734,72.89335,Clear,Dry,Urban Road,Daylight,Minor,3,0
A00631,2023-12-12,12:00,Afternoon,Main Highway,19.179875,72.758918,Clear,Poor,Expressway,Daylight,Moderate,2,5
A00632,2023-12-12,00:00,Night,College Road,18.91921,72.82692,Foggy,Wet,Urban Road,Dark,Moderate,1,0
A00633,2023-12-13,21:00,Night,Bridge Road,19.033823,72.992224,Clear,Poor,Highway,Dark,Severe,2,1
A00634,2023-12-13,19:00,Evening,Expressway,19.178029,72.820567,Rainy,Wet,Residential Road,Dusk,Moderate,4,3
A00635,2023-12-14,16:10,Afternoon,City Center,19.21682,72.768869,Rainy,Wet,Intersection,Daylight,Moderate,3,2
A00636,2023-12-14,06:30,Morning,Bridge Road,18.976088,72.966197,Clear,Wet,Residential Road,Daylight,Severe,3,3
A00637,2023-12-15,12:40,Afternoon,Market Road,19.192595,72.931424,Cloudy,Dry,Highway,Daylight,Severe,2,0
A00638,2023-12-15,03:00,Night,Residential Area,19.282165,73.016443,Clear,Dry,Urban Road,Dark,Minor,3,1
A00639,2023-12-16,03:10,Night,Station Road,19.262725,73.020421,Clear,Dry,Intersection,Dark,Minor,3,1
A00640,2023-12-17,05:10,Morning,Bridge Road,19.21575,73.085977,Clear,Poor,Highway,Dark,Moderate,4,0
A00641,2023-12-17,18:10,Evening,Station Road,19.184931,72.769956,Cloudy,Wet,Residential Road,Dusk,Moderate,1,0
A00642,2023-12-18,11:30,Morning,City Center,18.994055,72.763646,Clear,Dry,Urban Road,Daylight,Fatal,3,2
A00643,2023-12-18,21:40,Night,Ring Road,19.153561,73.095519,Cloudy,Dry,Highway,Dark,Moderate,1,1
A00644,2023-12-19,06:30,Morning,Airport Road,19.15731,72.975697,Cloudy,Wet,Expressway,Daylight,Minor,3,0
A00645,2023-12-19,09:20,Morning,Ring Road,19.062729,73.00038,Clear,Dry,Expressway,Daylight,Fatal,3,2
A00646,2023-12-20,18:10,Evening,Industrial Area,19.097206,72.783769,Rainy,Wet,Residential Road,Dusk,Severe,2,2
A00647,2023-12-20,06:20,Morning,Market Road,19.177611,72.774434,Rainy,Slippery,Highway,Daylight,Minor,3,1
A00648,2023-12-21,02:50,Night,Residential Area,19.280841,72.806089,Clear,Dry,Highway,Dark,Severe,1,3
A00649,2023-12-21,12:00,Afternoon,Residential Area,19.018122,72.899518,Clear,Dry,Residential Road,Daylight,Minor,3,0
A00650,2023-12-22,12:00,Afternoon,Industrial Area,18.998545,72.788562,Rainy,Wet,Residential Road,Daylight,Minor,2,1
A00651,2023-12-23,17:30,Evening,College Road,19.140723,72.906217,Clear,Dry,Highway,Daylight,Severe,3,0
A00652,2023-12-23,19:40,Evening,Station Road,18.95232,72.946538,Cloudy,Wet,Highway,Dusk,Moderate,4,2
A00653,2023-12-24,07:20,Morning,Residential Area,19.133013,72.750117,Clear,Dry,Highway,Daylight,Minor,2,0
A00654,2023-12-24,08:40,Morning,Ring Road,18.935541,72.789986,Clear,Dry,Intersection,Daylight,Minor,2,1
A00655,2023-12-25,06:30,Morning,College Road,19.096234,72.881318,Clear,Dry,Expressway,Daylight,Moderate,2,1
A00656,2023-12-25,00:00,Night,College Road,19.148166,72.768665,Clear,Dry,Intersection,Dark,Minor,2,1
A00657,2023-12-26,02:40,Night,Station Road,18.928044,72.796735,Cloudy,Dry,Highway,Dark,Moderate,3,0
A00658,2023-12-26,12:40,Afternoon,Junction Road,18.982781,72.831129,Clear,Wet,Intersection,Daylight,Moderate,3,0
A00659,2023-12-27,16:00,Afternoon,Industrial Area,19.03415,72.90036,Rainy,Wet,Highway,Daylight,Minor,4,1
A00660,2023-12-27,23:20,Night,Bridge Road,19.047439,73.000193,Rainy,Dry,Urban Road,Dark,Moderate,4,1
A00661,2023-12-28,00:00,Night,Airport Road,19.170442,72.796441,Cloudy,Dry,Expressway,Dark,Severe,2,2
A00662,2023-12-29,05:40,Morning,Residential Area,19.111609,73.008286,Rainy,Wet,Urban Road,Dark,Moderate,3,1
A00663,2023-12-29,20:20,Evening,Main Highway,19.052843,73.049271,Clear,Dry,Urban Road,Dusk,Minor,3,0
A00664,2023-12-30,05:20,Morning,Ring Road,19.080271,72.978018,Clear,Poor,Highway,Dark,Minor,2,0
A00665,2023-12-30,11:00,Morning,City Center,18.905191,72.765304,Rainy,Slippery,Highway,Daylight,Moderate,2,1
A00666,2023-12-31,12:40,Afternoon,Airport Road,19.20821,72.904229,Clear,Dry,Residential Road,Daylight,Severe,2,1
A00667,2023-12-31,12:30,Afternoon,Station Road,18.916402,72.981023,Cloudy,Dry,Residential Road,Daylight,Minor,4,2
A00668,2024-01-01,14:40,Afternoon,Market Road,19.231727,73.09248,Clear,Dry,Expressway,Daylight,Minor,3,2
A00669,2024-01-01,20:10,Evening,Residential Area,19.116399,73.083133,Cloudy,Dry,Residential Road,Dusk,Minor,3,0
A00670,2024-01-02,15:50,Afternoon,College Road,19.111128,72.888496,Rainy,Wet,Residential Road,Daylight,Moderate,2,0
A00671,2024-01-03,21:30,Night,Industrial Area,19.181831,72.965576,Rainy,Slippery,Highway,Dark,Minor,5,2
A00672,2024-01-03,20:20,Evening,Junction Road,19.243824,73.061785,Rainy,Dry,Highway,Dusk,Severe,2,0
A00673,2024-01-04,10:30,Morning,Residential Area,19.277058,73.040866,Rainy,Wet,Intersection,Daylight,Minor,3,1
A00674,2024-01-04,04:20,Night,Main Highway,19.117348,72.917798,Cloudy,Wet,Highway,Dark,Moderate,1,0
A00675,2024-01-05,03:20,Night,Industrial Area,18.960263,72.841434,Cloudy,Dry,Residential Road,Dark,Moderate,2,1
A00676,2024-01-05,02:30,Night,College Road,19.251452,72.797985,Clear,Dry,Highway,Dark,Moderate,3,1
A00677,2024-01-06,18:20,Evening,Junction Road,18.916269,72.920793,Clear,Dry,Residential Road,Dusk,Minor,5,1
A00678,2024-01-06,19:20,Evening,Bridge Road,19.222935,73.002996,Cloudy,Dry,Residential Road,Dusk,Moderate,2,0
A00679,2024-01-07,17:10,Evening,College Road,19.172169,73.089419,Stormy,Slippery,Highway,Daylight,Minor,1,1
A00680,2024-01-07,14:40,Afternoon,Bridge Road,19.261891,73.051635,Clear,Dry,Urban Road,Daylight,Minor,2,0
A00681,2024-01-08,08:40,Morning,Bridge Road,19.258985,72.821484,Cloudy,Dry,Residential Road,Daylight,Moderate,1,0
A00682,2024-01-09,16:50,Afternoon,Industrial Area,18.921262,73.001922,Cloudy,Dry,Urban Road,Daylight,Moderate,2,0
A00683,2024-01-09,13:50,Afternoon,Junction Road,19.143779,72.851185,Cloudy,Dry,Highway,Daylight,Minor,3,0
A00684,2024-01-10,14:10,Afternoon,Airport Road,18.949869,72.989215,Rainy,Wet,Expressway,Daylight,Minor,4,1
A00685,2024-01-10,00:50,Night,Residential Area,18.931387,72.983032,Clear,Dry,Highway,Dark,Severe,1,0
A00686,2024-01-11,20:30,Evening,Main Highway,19.079311,72.845351,Cloudy,Dry,Intersection,Dusk,Severe,2,1
A00687,2024-01-11,21:00,Night,Station Road,18.939039,72.832036,Rainy,Slippery,Urban Road,Dark,Minor,2,1
A00688,2024-01-12,21:00,Night,Junction Road,19.191161,72.786378,Cloudy,Wet,Highway,Dark,Moderate,2,0
A00689,2024-01-12,02:00,Night,College Road,19.287576,72.767689,Clear,Dry,Residential Road,Dark,Moderate,2,0
A00690,2024-01-13,15:10,Afternoon,Residential Area,19.127833,73.050458,Cloudy,Wet,Urban Road,Daylight,Moderate,2,0
A00691,2024-01-13,22:10,Night,Bridge Road,18.994068,72.767447,Rainy,Wet,Urban Road,Dark,Severe,1,0
A00692,2024-01-14,10:20,Morning,Bridge Road,19.237283,72.781059,Clear,Dry,Urban Road,Daylight,Minor,2,0
A00693,2024-01-15,11:00,Morning,College Road,19.241241,72.833598,Rainy,Wet,Urban Road,Daylight,Severe,2,1
A00694,2024-01-15,09:30,Morning,Bridge Road,19.193114,73.06068,Rainy,Wet,Urban Road,Daylight,Moderate,2,1
A00695,2024-01-16,15:50,Afternoon,Market Road,19.146053,72.866529,Cloudy,Dry,Highway,Daylight,Moderate,2,0
A00696,2024-01-16,07:30,Morning,Station Road,19.247117,72.81713,Stormy,Slippery,Urban Road,Daylight,Moderate,4,0
A00697,2024-01-17,05:50,Morning,Residential Area,18.965317,73.000444,Rainy,Wet,Urban Road,Dark,Severe,3,3
A00698,2024-01-17,11:00,Morning,City Center,19.27264,72.861674,Rainy,Slippery,Residential Road,Daylight,Minor,4,1
A00699,2024-01-18,23:00,Night,City Center,19.278881,72.866678,Rainy,Wet,Residential Road,Dark,Minor,2,0
A00700,2024-01-18,20:00,Evening,Industrial Area,19.248797,73.008642,Clear,Dry,Urban Road,Dusk,Minor,2,0
A00701,2024-01-19,07:10,Morning,College Road,19.000265,72.838078,Clear,Dry,Expressway,Daylight,Fatal,2,0
A00702,2024-01-19,03:50,Night,Bridge Road,19.243271,73.063866,Cloudy,Dry,Expressway,Dark,Moderate,1,0
A00703,2024-01-20,07:10,Morning,Industrial Area,19.099055,72.946498,Clear,Dry,Residential Road,Daylight,Moderate,3,0
A00704,2024-01-21,17:10,Evening,Ring Road,19.137972,72.938241,Clear,Dry,Residential Road,Daylight,Minor,2,2
A00705,2024-01-21,04:40,Night,City Center,19.23624,72.842663,Foggy,Dry,Urban Road,Dark,Severe,2,1
A00706,2024-01-22,08:30,Morning,Airport Road,18.911833,73.042283,Rainy,Slippery,Intersection,Daylight,Severe,3,2
A00707,2024-01-22,03:30,Night,Industrial Area,19.045177,72.950462,Cloudy,Dry,Highway,Dark,Moderate,2,1
A00708,2024-01-23,21:20,Night,Airport Road,19.226277,72.804431,Rainy,Slippery,Urban Road,Dark,Minor,5,1
A00709,2024-01-23,16:10,Afternoon,Bridge Road,19.225582,72.822204,Rainy,Slippery,Residential Road,Daylight,Minor,2,0
A00710,2024-01-24,08:50,Morning,Ring Road,19.239475,72.91389,Clear,Wet,Highway,Daylight,Moderate,3,0
A00711,2024-01-24,00:40,Night,Bridge Road,18.967686,73.022875,Clear,Dry,Highway,Dark,Moderate,2,1
A00712,2024-01-25,20:40,Evening,Junction Road,19.182355,73.078753,Cloudy,Dry,Residential Road,Dusk,Minor,5,5
A00713,2024-01-26,19:30,Evening,Ring Road,18.958601,72.982225,Rainy,Dry,Residential Road,Dusk,Moderate,2,0
A00714,2024-01-26,12:10,Afternoon,Ring Road,19.214039,72.92715,Clear,Dry,Expressway,Daylight,Minor,3,2
A00715,2024-01-27,15:20,Afternoon,Ring Road,18.99805,72.837756,Cloudy,Dry,Expressway,Daylight,Moderate,2,1
A00716,2024-01-27,12:10,Afternoon,Market Road,19.195127,72.985504,Clear,Dry,Highway,Daylight,Moderate,3,0
A00717,2024-01-28,13:00,Afternoon,Junction Road,19.082001,73.093784,Rainy,Wet,Highway,Daylight,Minor,2,0
A00718,2024-01-28,02:10,Night,Expressway,19.294505,72.916678,Rainy,Wet,Residential Road,Dark,Moderate,2,0
A00719,2024-01-29,05:00,Morning,Ring Road,19.131958,72.80675,Rainy,Slippery,Urban Road,Dark,Minor,4,4
A00720,2024-01-29,17:00,Evening,Market Road,19.153032,72.786169,Stormy,Wet,Residential Road,Daylight,Minor,5,0
A00721,2024-01-30,18:20,Evening,Bridge Road,19.047265,72.84424,Rainy,Wet,Highway,Dusk,Severe,2,2
A00722,2024-01-30,04:50,Night,Market Road,19.193808,72.949305,Foggy,Dry,Urban Road,Dark,Minor,4,3
A00723,2024-01-31,14:30,Afternoon,Residential Area,19.097954,73.081382,Foggy,Dry,Urban Road,Daylight,Minor,1,0
A00724,2024-02-01,01:10,Night,Airport Road,18.907227,72.854708,Rainy,Slippery,Residential Road,Dark,Minor,4,2
A00725,2024-02-01,09:00,Morning,Ring Road,19.143433,72.856887,Rainy,Slippery,Urban Road,Daylight,Minor,3,2
A00726,2024-02-02,23:10,Night,Main Highway,19.232184,72.918413,Clear,Dry,Urban Road,Dark,Minor,2,0
A00727,2024-02-02,17:50,Evening,Station Road,18.994721,73.07149,Cloudy,Wet,Urban Road,Daylight,Minor,4,1
A00728,2024-02-03,12:30,Afternoon,Industrial Area,18.988426,72.896669,Cloudy,Dry,Highway,Daylight,Moderate,4,1
A00729,2024-02-03,04:50,Night,Bridge Road,19.143554,72.82813,Clear,Dry,Highway,Dark,Minor,2,1
A00730,2024-02-04,22:30,Night,College Road,19.227192,72.807096,Clear,Dry,Urban Road,Dark,Moderate,3,0
A00731,2024-02-04,23:40,Night,Airport Road,18.999848,72.909955,Stormy,Wet,Urban Road,Dark,Minor,1,0
A00732,2024-02-05,00:30,Night,Airport Road,19.272905,73.030237,Foggy,Wet,Urban Road,Dark,Minor,3,0
A00733,2024-02-05,21:20,Night,College Road,19.270955,72.851973,Rainy,Wet,Urban Road,Dark,Minor,3,0
A00734,2024-02-06,00:50,Night,Industrial Area,18.980215,72.929383,Clear,Wet,Residential Road,Dark,Severe,1,2
A00735,2024-02-07,17:00,Evening,Airport Road,19.005514,72.961053,Clear,Dry,Intersection,Daylight,Moderate,3,1
A00736,2024-02-07,14:40,Afternoon,Market Road,19.18024,72.907665,Clear,Dry,Urban Road,Daylight,Severe,3,1
A00737,2024-02-08,16:20,Afternoon,Residential Area,19.280693,72.817092,Clear,Dry,Highway,Daylight,Minor,3,1
A00738,2024-02-08,10:10,Morning,City Center,19.183953,73.072611,Clear,Poor,Highway,Daylight,Severe,2,1
A00739,2024-02-09,20:50,Evening,Market Road,19.07796,72.947907,Clear,Dry,Residential Road,Dusk,Minor,2,2
A00740,2024-02-09,21:00,Night,Ring Road,18.967601,73.005197,Foggy,Wet,Urban Road,Dark,Minor,3,0
A00741,2024-02-10,16:30,Afternoon,Airport Road,19.084404,72.972615,Rainy,Slippery,Highway,Daylight,Moderate,2,1
A00742,2024-02-10,12:00,Afternoon,Market Road,19.142707,73.099317,Clear,Dry,Residential Road,Daylight,Minor,2,1
